ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2025.10.03 00:00,0.13593360,0.19025600,-0.05307900,0.07874822,0.17662129,-0.18333867,0.19098549,-0.53612694
2025.10.06 00:00,0.19260945,0.17188541,-0.00996032,-0.15133699,0.18913911,-0.11685193,0.22298425,-0.49846899
2025.10.07 00:00,0.26609079,0.16297970,0.01068440,-0.26651088,0.20694805,-0.04279046,0.19066180,-0.52806340
2025.10.08 00:00,0.30756689,0.15017727,0.02743718,-0.38908641,0.17992742,0.00544995,0.22049838,-0.50197070
2025.10.09 00:00,0.40232173,0.10884786,-0.00046194,-0.41062877,0.15384517,0.02601843,0.22167393,-0.50161642
2025.10.10 00:00,0.42188793,0.12145830,0.05723038,-0.30334151,0.22228068,0.02130912,0.00946105,-0.55028596
2025.10.13 00:00,0.45414659,0.04379645,0.06784974,-0.38597700,0.15811473,0.00546049,0.12143282,-0.46482381
2025.10.14 00:00,0.47798937,0.05698678,0.05819678,-0.38380417,0.18640103,-0.01296847,0.04838527,-0.43118658
2025.10.15 00:00,0.43371461,0.02400206,0.12520788,-0.37352695,0.20250697,-0.06319352,0.05621724,-0.40492829
2025.10.16 00:00,0.36717281,0.05981691,0.16278695,-0.33026826,0.28276583,-0.12333555,-0.06482600,-0.35411269
2025.10.17 00:00,0.31880280,-0.00588587,0.18802161,-0.33066021,0.31870514,-0.10343287,-0.09373572,-0.29181488
2025.10.20 00:00,0.28242933,-0.03375174,0.17845430,-0.34345896,0.36024861,-0.12289735,-0.09428168,-0.22674251
2025.10.21 00:00,0.29340259,-0.07032254,0.16694460,-0.38230093,0.33751894,-0.02827532,-0.15637331,-0.16059404
2025.10.22 00:00,0.25888609,-0.05377727,0.13647817,-0.38160540,0.35698921,0.02406161,-0.21152074,-0.12951167
2025.10.23 00:00,0.22028098,-0.03081597,0.08089570,-0.43307041,0.38439804,0.04329093,-0.19157673,-0.07340255
2025.10.24 00:00,0.20935197,0.00050564,0.03869505,-0.47531106,0.40156768,0.06811042,-0.18740651,-0.05551319
2025.10.26 00:00,0.21170420,-0.00149269,-0.00798520,-0.51236255,0.38160755,0.06156296,-0.14037619,0.00734193
