ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.06.26 07:00,-0.17530873,0.03883145,0.04105928,-0.01332335,0.41311941,0.37300883,-0.41017126,-0.26721563
2026.06.26 08:00,-0.20943749,0.02179541,0.04382141,0.03245310,0.39683692,0.34808093,-0.41387546,-0.21967481
2026.06.26 09:00,-0.18632256,0.05388969,0.01608139,-0.03579029,0.40946985,0.30884727,-0.38321865,-0.18295670
2026.06.26 10:00,-0.19580812,0.18007274,0.06115006,0.01362858,0.43850692,0.17603248,-0.48690355,-0.18667909
2026.06.26 11:00,-0.21447015,0.29476594,0.09032978,0.00729952,0.37900525,0.13572568,-0.52833208,-0.16432393
2026.06.26 12:00,-0.18817987,0.34990266,0.06436061,0.00692221,0.33153285,0.07392321,-0.50867355,-0.12978811
2026.06.26 13:00,-0.17513250,0.36299160,0.07269103,0.00856675,0.23883954,0.03127409,-0.45876323,-0.08046729
2026.06.26 14:00,-0.12987953,0.40064993,0.09354622,0.03667965,0.22324479,0.00627090,-0.49464405,-0.13586792
2026.06.26 15:00,-0.22028268,0.68781355,-0.05179613,-0.03142356,0.32547345,-0.03967960,-0.52030368,-0.14980136
2026.06.26 16:00,-0.32375899,0.69044688,0.00054484,-0.08617229,0.35563809,-0.09177456,-0.42452105,-0.12040293
2026.06.26 17:00,-0.20310416,0.60420374,-0.01972836,-0.04157883,0.21064461,-0.12659756,-0.34928461,-0.07455483
2026.06.26 18:00,-0.28470903,0.58786832,0.07895567,-0.11550019,0.20638552,-0.11632821,-0.26880230,-0.08786978
2026.06.26 19:00,-0.21113478,0.54892490,0.06288119,-0.12149880,0.11637904,-0.09904865,-0.16697046,-0.12953245
2026.06.26 20:00,-0.17616042,0.51479623,0.04516089,-0.13038712,0.06178699,-0.06432344,-0.10954719,-0.14132594
2026.06.26 21:00,-0.14351596,0.47614124,0.03821059,-0.10670315,0.04544551,-0.06002183,-0.07597947,-0.17357694
2026.06.26 22:00,-0.14205000,0.41459726,-0.01410803,-0.14180133,0.03325033,0.02362575,-0.01547617,-0.15803781
2026.06.26 23:00,-0.08870832,0.33524155,-0.02232725,-0.08412718,0.01681337,0.00034720,0.01300118,-0.17024054
2026.06.29 00:00,-0.02135354,0.26454946,0.02218644,-0.08550253,-0.07932452,0.04133929,-0.01403478,-0.12785982
2026.06.29 01:00,0.01502520,0.26020297,-0.03486358,-0.12391254,-0.14988766,0.07198262,0.09736699,-0.13591401
2026.06.29 02:00,0.06737875,0.17900293,-0.02459536,-0.11882474,-0.20711364,0.10820536,0.12531502,-0.12936831
2026.06.29 03:00,0.14708570,0.15838287,0.00414708,-0.05499578,-0.19699705,0.14122015,0.00251500,-0.20135796
