event_id,time_server,country,currency,name,importance,actual,forecast,previous
554010004,2024.07.02 01:45:00,Nova Zelândia,NZD,Alvarás de Construção (Mensal),LOW,-1.700000,0.800000,-1.900000
554050001,2024.07.02 17:49:00,Nova Zelândia,NZD,Índice de preços do GlobalDairy Trade,LOW,-6.900000,-0.700000,-0.500000
554040001,2024.07.03 04:00:00,Nova Zelândia,NZD,Índice ANZ de Preço das Commodities,LOW,1.500000,-0.400000,1.100000
554520001,2024.07.08 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,30.700000,,26.600000
554010012,2024.07.09 13:45:00,Nova Zelândia,NZD,Imigração Permanente/Longo Prazo,LOW,1.410000,,7.380000
554010011,2024.07.10 01:45:00,Nova Zelândia,NZD,Chegada de Turistas (Mensal),LOW,4.000000,0.100000,-9.400000
554010013,2024.07.10 01:45:00,Nova Zelândia,NZD,Chegada de Turistas (Anual),LOW,12.100000,14.800000,1.700000
554020005,2024.07.10 05:00:00,Nova Zelândia,NZD,Declaração de Taxa do Banco da Reserva da Nova Zelândia,MODERATE,,,
554020009,2024.07.10 05:00:00,Nova Zelândia,NZD,Decisão da Taxa de Juros do Banco da Reserva da Nova Zelândia,HIGH,5.500000,,5.500000
554010003,2024.07.10 12:45:00,Nova Zelândia,NZD,Índice de Preços de Alimentos (Mensal),LOW,1.000000,,-0.200000
554060001,2024.07.12 01:30:00,Nova Zelândia,NZD,Índice de Atividade dos Gerentes de Compras Industrial NZ,MODERATE,41.100000,46.600000,47.200000
554010001,2024.07.12 01:45:00,Nova Zelândia,NZD,Vendas no Varejo Pagas com Cartões de Crédito ou Débito (Mensal),MODERATE,-0.600000,0.800000,-1.100000
554010002,2024.07.12 01:45:00,Nova Zelândia,NZD,Vendas no Varejo Pagas com Cartões de Crédito ou Débito (Anual),LOW,-4.900000,-1.600000,-1.600000
554520001,2024.07.12 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,25.900000,,30.700000
554060002,2024.07.15 01:30:00,Nova Zelândia,NZD,BusinessNZ Services Index,LOW,40.200000,,43.000000
554020012,2024.07.16 06:00:00,Nova Zelândia,NZD,Taxa RBNZ de Dívida Pública Detida por Não Residentes,LOW,57.200000,57.600000,57.800000
554050001,2024.07.16 17:57:00,Nova Zelândia,NZD,Índice de preços do GlobalDairy Trade,LOW,0.400000,-5.000000,-6.900000
554010005,2024.07.17 01:45:00,Nova Zelândia,NZD,Índice de Preços ao Consumidor (Trimestral),MODERATE,0.400000,0.500000,0.600000
554010006,2024.07.17 01:45:00,Nova Zelândia,NZD,Núcleo do Índice de Preços ao Consumidor (IPC) (Anual),MODERATE,3.300000,2.700000,4.000000
554020011,2024.07.19 06:00:00,Nova Zelândia,NZD,Gastos com Cartão de Crédito (Anual),LOW,-3.100000,-2.100000,0.000000
554520001,2024.07.19 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,12.600000,,25.900000
554010007,2024.07.22 01:45:00,Nova Zelândia,NZD,Volume de Exportações,LOW,6.173000,,7.156000
554010008,2024.07.22 01:45:00,Nova Zelândia,NZD,Volume de Importações,LOW,5.474000,,6.951000
554010009,2024.07.22 01:45:00,Nova Zelândia,NZD,Balança Comercial,LOW,0.699000,0.482000,0.204000
554010010,2024.07.22 01:45:00,Nova Zelândia,NZD,Balança Comercial 12 Meses,MODERATE,-9.399000,-10.524000,-10.054000
554520001,2024.07.26 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,4.500000,,12.600000
554010004,2024.07.31 01:45:00,Nova Zelândia,NZD,Alvarás de Construção (Mensal),LOW,-13.800000,-1.300000,-1.700000
554040002,2024.07.31 04:00:00,Nova Zelândia,NZD,Confiança Empresarial ANZ,LOW,27.100000,12.200000,6.100000
554040003,2024.07.31 04:00:00,Nova Zelândia,NZD,Expectativas Empresariais do Banco Nacional da Nova Zelândia,LOW,16.300000,11.600000,12.200000
554520001,2024.08.02 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-11.400000,,4.500000
554040001,2024.08.05 04:00:00,Nova Zelândia,NZD,Índice ANZ de Preço das Commodities,LOW,-1.700000,1.100000,1.500000
554050001,2024.08.06 17:58:00,Nova Zelândia,NZD,Índice de preços do GlobalDairy Trade,LOW,0.500000,0.000000,0.400000
554010014,2024.08.07 01:45:00,Nova Zelândia,NZD,Taxa de Desemprego,LOW,4.600000,4.500000,4.300000
554010015,2024.08.07 01:45:00,Nova Zelândia,NZD,Taxa de Participação na Força de Trabalho,LOW,71.700000,71.800000,71.500000
554010016,2024.08.07 01:45:00,Nova Zelândia,NZD,Variação no Emprego (Trimestral),HIGH,0.400000,0.400000,-0.200000
554010017,2024.08.07 01:45:00,Nova Zelândia,NZD,Índice do Custo do Emprego (Trimestral),LOW,0.900000,0.900000,0.800000
554010018,2024.08.07 01:45:00,Nova Zelândia,NZD,Custo da Mão de Obra (Anual),LOW,3.600000,3.900000,3.800000
554020010,2024.08.08 06:00:00,Nova Zelândia,NZD,Expectativas de Inflação do Banco da Reserva da Nova Zelândia,MODERATE,2.030000,,2.330000
554520001,2024.08.09 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-16.800000,,-11.400000
554010011,2024.08.13 01:45:00,Nova Zelândia,NZD,Chegada de Turistas (Mensal),LOW,-0.200000,-2.400000,4.000000
554010013,2024.08.13 01:45:00,Nova Zelândia,NZD,Chegada de Turistas (Anual),LOW,3.800000,6.900000,12.100000
554010012,2024.08.13 01:45:00,Nova Zelândia,NZD,Imigração Permanente/Longo Prazo,LOW,2.710000,-0.002000,1.410000
554020009,2024.08.14 05:00:00,Nova Zelândia,NZD,Decisão da Taxa de Juros do Banco da Reserva da Nova Zelândia,HIGH,5.250000,,5.500000
554020008,2024.08.14 20:00:00,Nova Zelândia,NZD,Coletiva de Imprensa do Banco Central da Nova Zelândia,HIGH,,,
554010001,2024.08.15 01:45:00,Nova Zelândia,NZD,Vendas no Varejo Pagas com Cartões de Crédito ou Débito (Mensal),MODERATE,-0.100000,-1.000000,-0.600000
554010002,2024.08.15 01:45:00,Nova Zelândia,NZD,Vendas no Varejo Pagas com Cartões de Crédito ou Débito (Anual),LOW,-4.900000,-2.600000,-4.900000
554010003,2024.08.15 01:45:00,Nova Zelândia,NZD,Índice de Preços de Alimentos (Mensal),LOW,0.400000,0.400000,1.000000
554060001,2024.08.16 01:30:00,Nova Zelândia,NZD,Índice de Atividade dos Gerentes de Compras Industrial NZ,MODERATE,44.000000,42.300000,41.100000
554010022,2024.08.16 01:45:00,Nova Zelândia,NZD,Preços ao Produtor (IPP) de Bens Intermediários (Mensal),MODERATE,1.400000,1.000000,0.700000
554010023,2024.08.16 01:45:00,Nova Zelândia,NZD,Preços ao Produtor (IPP) Produtos Acabados (Mensal),LOW,1.100000,0.800000,0.900000
554020012,2024.08.16 06:00:00,Nova Zelândia,NZD,Taxa RBNZ de Dívida Pública Detida por Não Residentes,LOW,56.300000,57.400000,57.200000
554520001,2024.08.16 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-15.600000,,-16.800000
554060002,2024.08.19 01:30:00,Nova Zelândia,NZD,BusinessNZ Services Index,LOW,44.600000,,40.200000
554010007,2024.08.20 01:45:00,Nova Zelândia,NZD,Volume de Exportações,LOW,6.147000,,6.173000
554010008,2024.08.20 01:45:00,Nova Zelândia,NZD,Volume de Importações,LOW,7.110000,,5.474000
554010009,2024.08.20 01:45:00,Nova Zelândia,NZD,Balança Comercial,LOW,-0.963000,-0.413000,0.699000
554010010,2024.08.20 01:45:00,Nova Zelândia,NZD,Balança Comercial 12 Meses,MODERATE,-9.293000,-9.724000,-9.399000
554050001,2024.08.20 18:12:00,Nova Zelândia,NZD,Índice de preços do GlobalDairy Trade,LOW,5.500000,1.300000,0.500000
554020011,2024.08.21 06:00:00,Nova Zelândia,NZD,Gastos com Cartão de Crédito (Anual),LOW,-3.800000,-1.500000,-3.100000
554010019,2024.08.23 01:45:00,Nova Zelândia,NZD,Vendas no Varejo (Mensal),MODERATE,-1.200000,0.900000,0.500000
554010020,2024.08.23 01:45:00,Nova Zelândia,NZD,Núcleo do Índice de Vendas no Varejo (Trimestral),MODERATE,-1.000000,0.000000,0.400000
554010021,2024.08.23 01:45:00,Nova Zelândia,NZD,Vendas no Varejo (Anual),MODERATE,-3.600000,1.700000,-2.400000
554520001,2024.08.23 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-13.800000,,-15.600000
554040002,2024.08.29 04:00:00,Nova Zelândia,NZD,Confiança Empresarial ANZ,LOW,50.600000,29.300000,27.100000
554040003,2024.08.29 04:00:00,Nova Zelândia,NZD,Expectativas Empresariais do Banco Nacional da Nova Zelândia,LOW,37.100000,18.100000,16.300000
554010004,2024.08.30 01:45:00,Nova Zelândia,NZD,Alvarás de Construção (Mensal),LOW,26.200000,-0.900000,-13.800000
554520001,2024.08.30 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-8.300000,,-13.800000
554010030,2024.09.03 01:45:00,Nova Zelândia,NZD,Preços de Bens Exportados (Trimestral),LOW,5.200000,0.600000,-0.300000
554010031,2024.09.03 01:45:00,Nova Zelândia,NZD,Preços de Bens Importados (Trimestral),LOW,3.100000,-3.700000,-5.100000
554010032,2024.09.03 01:45:00,Nova Zelândia,NZD,Índice de Termos de Troca (Trimestral),LOW,2.000000,1.700000,5.100000
554010036,2024.09.03 01:45:00,Nova Zelândia,NZD,Exportações (Trimestral),LOW,-4.300000,-0.900000,6.300000
554010037,2024.09.03 01:45:00,Nova Zelândia,NZD,Importações (Trimestral),LOW,3.200000,1.200000,1.200000
554050001,2024.09.03 18:53:00,Nova Zelândia,NZD,Índice de preços do GlobalDairy Trade,LOW,-0.400000,2.700000,5.500000
554040001,2024.09.04 04:00:00,Nova Zelândia,NZD,Índice ANZ de Preço das Commodities,LOW,2.100000,-0.200000,-1.700000
554520001,2024.09.06 22:30:00,Nova Zelândia,NZD,Posições Líquidas de Especuladores no Relatório da CFTC sobre o NZD,LOW,-0.200000,,-8.300000
554010033,2024.09.10 01:45:00,Nova Zelândia,NZD,Volume de Vendas de Manufaturados (Trimestral),LOW,0.600000,-1.400000,-0.400000
554010034,2024.09.10 01:45:00,Nova Zelândia,NZD,Vendas de Manufaturados (Trimestral),LOW,0.100000,-2.000000,0.700000
