breadth_min,z_min,er_min,labels_total,days_with_label_pct,mean_labels_per_day
0.714,0.8,0.15,755,74.1,1.53
0.714,0.8,0.25,121,18.2,0.24
0.714,0.8,0.35,4,0.8,0.01
0.714,1.0,0.15,716,71.7,1.45
0.714,1.0,0.25,120,18.2,0.24
0.714,1.0,0.35,4,0.8,0.01
0.714,1.5,0.15,442,51.8,0.89
0.714,1.5,0.25,111,17.2,0.22
0.714,1.5,0.35,3,0.6,0.01
0.857,0.8,0.15,692,73.5,1.4
0.857,0.8,0.25,120,18.2,0.24
0.857,0.8,0.35,4,0.8,0.01
0.857,1.0,0.15,657,71.3,1.33
0.857,1.0,0.25,119,18.2,0.24
0.857,1.0,0.35,4,0.8,0.01
0.857,1.5,0.15,420,51.8,0.85
0.857,1.5,0.25,110,17.2,0.22
0.857,1.5,0.35,3,0.6,0.01
1.0,0.8,0.15,466,66.8,0.94
1.0,0.8,0.25,90,15.6,0.18
1.0,0.8,0.35,3,0.6,0.01
1.0,1.0,0.15,448,64.8,0.91
1.0,1.0,0.25,90,15.6,0.18
1.0,1.0,0.35,3,0.6,0.01
1.0,1.5,0.15,299,46.0,0.61
1.0,1.5,0.25,82,14.6,0.17
1.0,1.5,0.35,2,0.4,0.0
