pair,tokyo,londres,ny,overlap
AUDCAD,33.799999999999386,41.999999999999815,39.70000000000029,28.399999999999537
AUDCHF,30.999999999999915,36.30000000000022,31.10000000000057,23.199999999999886
AUDJPY,49.89999999999952,50.7000000000005,46.999999999999886,33.69999999999962
AUDNZD,32.79999999999949,32.30000000000066,29.09999999999968,20.799999999998597
AUDUSD,35.89999999999982,40.99999999999992,37.8999999999996,27.399999999999647
CADCHF,21.599999999999397,37.64999999999962,34.80000000000039,25.100000000000122
CADJPY,39.90000000000009,54.90000000000066,52.40000000000009,37.40000000000023
CHFJPY,50.499999999999545,65.14999999999986,54.299999999997794,40.00000000000057
EURAUD,66.6000000000011,77.70000000000054,65.8000000000003,49.000000000001265
EURCAD,39.80000000000094,71.70000000000121,67.29999999999903,48.500000000000206
EURCHF,23.800000000000487,36.599999999999966,30.000000000000025,22.20000000000055
EURGBP,25.000000000000576,39.799999999999834,31.29999999999966,23.599999999999177
EURJPY,56.799999999999784,71.79999999999893,59.600000000000364,43.35000000000022
EURNZD,72.90000000000019,82.99999999999973,71.40000000000146,51.49999999999988
EURUSD,34.600000000000186,55.200000000001914,48.6999999999993,35.00000000000058
GBPAUD,80.10000000000072,98.8000000000011,81.25000000000048,60.600000000001764
GBPCAD,53.49999999999966,94.49999999999957,83.19999999999882,59.80000000000096
GBPCHF,41.999999999999815,66.10000000000005,52.09999999999937,38.800000000001056
GBPJPY,73.49999999999994,99.1500000000002,81.49999999999977,58.899999999999864
GBPNZD,86.50000000000045,107.39999999999749,89.0000000000013,64.9999999999995
GBPUSD,48.00000000000026,74.59999999999799,63.19999999999881,46.299999999999116
NZDCAD,33.49999999999964,42.49999999999976,40.49999999999998,28.199999999999335
NZDCHF,28.29999999999999,33.29999999999944,28.500000000000192,20.399999999999306
NZDJPY,44.39999999999884,46.19999999999962,41.30000000000109,29.19999999999945
NZDUSD,33.09999999999924,38.699999999999285,35.90000000000093,25.00000000000002
USDCAD,33.30000000000055,57.300000000000125,58.79999999999885,42.099999999999355
USDCHF,29.000000000000135,46.99999999999926,41.79999999999961,30.200000000000227
USDJPY,46.999999999999886,58.149999999999835,54.50000000000017,37.650000000000006
