anchor,entrada,saida,exp_net,lo,hi,n,freq,pf,dd,acc_dir,z,p,bh,passa_reality
tokyo,30,+1h,-0.624,-0.931,-0.333,6208,1.0,0.851,-4157.211,0.477,-4.085,1.0,False,False
tokyo,30,+2h,-0.481,-0.908,-0.078,6208,1.0,0.912,-3701.894,0.474,-2.273,0.988,False,False
tokyo,30,+4h,-0.469,-1.038,0.077,6208,1.0,0.933,-3645.727,0.49,-1.648,0.95,False,False
tokyo,30,fim_sessao,-0.508,-1.33,0.336,6208,1.0,0.955,-4352.457,0.497,-1.195,0.884,False,False
tokyo,30,ini_overlap,0.205,-0.85,1.217,6208,1.0,1.014,-2115.441,0.499,0.388,0.349,False,False
tokyo,30,fim_overlap,-0.033,-1.239,1.108,6208,1.0,0.998,-4126.392,0.503,-0.055,0.522,False,False
tokyo,30,T0+12h,-0.089,-1.067,0.908,6208,1.0,0.993,-2582.811,0.496,-0.176,0.57,False,False
tokyo,30,T0+15h,0.061,-1.129,1.185,6208,1.0,1.004,-3225.416,0.499,0.103,0.459,False,False
tokyo,60,+1h,-0.374,-0.662,-0.067,6208,1.0,0.906,-2689.319,0.474,-2.461,0.993,False,False
tokyo,60,+2h,-0.342,-0.711,0.042,6208,1.0,0.932,-2605.339,0.481,-1.782,0.963,False,False
tokyo,60,+4h,-0.404,-0.915,0.103,6208,1.0,0.94,-2936.087,0.479,-1.556,0.94,False,False
tokyo,60,fim_sessao,-0.274,-1.076,0.505,6208,1.0,0.975,-3493.572,0.501,-0.68,0.752,False,False
tokyo,60,ini_overlap,0.258,-0.697,1.216,6208,1.0,1.019,-4476.982,0.506,0.528,0.299,False,False
tokyo,60,fim_overlap,0.206,-0.926,1.318,6208,1.0,1.013,-4840.379,0.503,0.36,0.36,False,False
tokyo,60,T0+12h,-0.001,-0.957,0.929,6208,1.0,1.0,-4071.47,0.501,-0.003,0.501,False,False
tokyo,60,T0+15h,0.095,-0.97,1.131,6208,1.0,1.006,-4936.47,0.503,0.178,0.43,False,False
tokyo,90,+1h,-0.486,-0.755,-0.22,6208,1.0,0.869,-3173.706,0.471,-3.56,1.0,False,False
tokyo,90,+2h,-0.429,-0.769,-0.082,6208,1.0,0.911,-2859.099,0.482,-2.446,0.993,False,False
tokyo,90,+4h,-0.49,-0.973,0.005,6208,1.0,0.925,-3417.286,0.482,-1.963,0.975,False,False
tokyo,90,fim_sessao,-0.394,-1.217,0.35,6208,1.0,0.962,-3152.0,0.5,-0.986,0.838,False,False
tokyo,90,ini_overlap,0.225,-0.755,1.159,6208,1.0,1.017,-2991.628,0.502,0.461,0.322,False,False
tokyo,90,fim_overlap,0.22,-0.933,1.233,6208,1.0,1.014,-3205.815,0.501,0.398,0.345,False,False
tokyo,90,T0+12h,-0.221,-1.136,0.631,6208,1.0,0.982,-2609.08,0.501,-0.491,0.688,False,False
tokyo,90,T0+15h,0.136,-0.931,1.139,6208,1.0,1.009,-2921.025,0.498,0.258,0.398,False,False
