entrada,+1h,+2h,+4h,T0+12h,T0+15h,fim_overlap,fim_sessao,ini_overlap
120,-0.7,-0.6,-0.4,0.1,0.1,0.4,-0.2,0.4
180,-0.5,-0.4,-0.5,-0.3,-0.1,-0.1,-0.4,0.2
240,-0.5,-0.4,-0.7,-0.9,-1.1,-1.2,-0.7,-0.6
30,-0.6,-0.5,-0.5,-0.1,0.1,-0.0,-0.5,0.2
60,-0.4,-0.3,-0.4,-0.0,0.1,0.2,-0.3,0.3
90,-0.5,-0.4,-0.5,-0.2,0.1,0.2,-0.4,0.2
ER>=0.4,-1.0,-1.2,-1.1,-1.3,-1.3,-1.2,-1.4,-1.3
ER>=0.6,-1.0,-1.2,-1.1,-1.3,-1.3,-1.2,-1.4,-1.3
z>=1.0,-0.7,-0.5,-0.1,-0.5,-0.7,-1.2,-0.6,-0.5
z>=1.5,-0.6,-0.8,-0.1,0.0,-0.6,-0.2,-0.5,-0.5
