close_date,symbol,side,lots,price_in,price_out,close_time,profit_usd,portfolio_currency,portfolio_direction,span_days,source,notes
2026-06-19,AUDNZD,buy,60,1.21850,1.22168,10:48:21,10950.97,NZD,BAIXA,1,story,
2026-06-19,EURNZD,buy,60,1.99086,1.99656,10:48:24,19629.09,NZD,BAIXA,1,story,
2026-06-19,GBPNZD,buy,60,2.29389,2.30445,10:48:25,36365.48,NZD,BAIXA,1,story,
2026-06-19,NZDCAD,sell,60,0.81389,0.81191,10:48:28,8399.02,NZD,BAIXA,1,story,
2026-06-19,NZDCHF,sell,60,0.46316,0.46294,10:48:29,1636.82,NZD,BAIXA,1,story,
2026-06-19,NZDJPY,sell,60,92.836,92.596,10:48:29,8927.02,NZD,BAIXA,1,story,
2026-06-19,NZDUSD,sell,60,0.57555,0.57405,10:48:30,9000.00,NZD,BAIXA,1,story,total_print=94908.40; post 'continuacao da fraqueza do NZD'
2026-06-22,EURGBP,sell,60,0.86790,0.86562,10:41:59,18109.86,GBP,ALTA,1,story,
2026-06-22,GBPAUD,buy,60,1.88612,1.88997,10:42:02,16179.47,GBP,ALTA,1,story,
2026-06-22,GBPCAD,buy,60,1.87183,1.87565,10:42:03,16177.18,GBP,ALTA,1,story,
2026-06-22,GBPCHF,buy,60,1.06724,1.06917,10:42:04,14339.14,GBP,ALTA,1,story,
2026-06-22,GBPJPY,buy,60,213.200,214.101,10:42:05,33430.42,GBP,ALTA,1,story,
2026-06-22,GBPNZD,buy,60,2.30385,2.31064,10:42:07,23340.35,GBP,ALTA,1,story,
2026-06-22,GBPUSD,buy,60,1.32038,1.32393,10:42:08,21300.00,GBP,ALTA,1,story,total_print=142876.42
2026-06-23,AUDCAD,sell,60,0.99007,0.98659,10:20:27,14720.09,AUD,BAIXA,1,story,
2026-06-23,AUDCHF,sell,60,0.56561,0.56352,10:20:28,15478.62,AUD,BAIXA,1,story,
2026-06-23,AUDJPY,sell,60,112.974,112.266,10:20:29,26319.86,AUD,BAIXA,1,story,
2026-06-23,AUDNZD,sell,60,1.22471,1.22216,10:20:29,8708.91,AUD,BAIXA,1,story,
2026-06-23,AUDUSD,sell,60,0.69925,0.69560,10:20:30,21900.00,AUD,BAIXA,1,story,
2026-06-23,EURAUD,buy,60,1.63403,1.63983,10:20:31,24204.79,AUD,BAIXA,1,story,
2026-06-23,GBPAUD,buy,60,1.89431,1.90040,10:20:32,25415.04,AUD,BAIXA,1,story,total_print=136747.31; soma das pernas conferida a mao
2026-06-24,AUDJPY,sell,60,111.739,111.421,10:51:26,11797.88,JPY,ALTA,1,story,
2026-06-24,CADJPY,sell,60,113.719,113.679,10:51:28,1484.01,JPY,ALTA,1,story,
2026-06-24,CHFJPY,sell,60,199.602,199.019,10:51:31,21629.44,JPY,ALTA,1,story,
2026-06-24,EURJPY,sell,60,183.914,183.388,10:51:35,19514.73,JPY,ALTA,1,story,
2026-06-24,GBPJPY,sell,60,213.322,212.787,10:51:36,19848.63,JPY,ALTA,1,story,
2026-06-24,NZDJPY,sell,60,91.522,91.111,10:51:37,15248.20,JPY,ALTA,1,story,
2026-06-24,USDJPY,sell,60,161.580,161.724,10:51:38,-5342.44,JPY,ALTA,1,story,PERNA PERDEDORA publicada; total_print=84180.45
2026-06-25,EURAUD,sell,60,1.64573,1.64509,11:43:15,2646.60,EUR,BAIXA,1,story,
2026-06-25,EURCAD,sell,60,1.61599,1.61494,11:43:15,4422.23,EUR,BAIXA,1,story,
2026-06-25,EURCHF,sell,60,0.92255,0.92176,11:43:16,5830.12,EUR,BAIXA,1,story,
2026-06-25,EURGBP,sell,60,0.86240,0.86159,11:43:16,6395.80,EUR,BAIXA,1,story,
2026-06-25,EURJPY,sell,60,183.671,183.601,11:43:17,2593.57,EUR,BAIXA,1,story,
2026-06-25,EURNZD,sell,60,2.01144,2.01133,11:43:17,372.07,EUR,BAIXA,1,story,
2026-06-25,EURUSD,sell,60,1.13533,1.13380,11:43:19,9180.00,EUR,BAIXA,1,story,total_print=31440.39
2026-06-29,AUDJPY,buy,60,111.569,111.680,10:51:10,4114.69,JPY,BAIXA,1,story,
2026-06-29,CADJPY,buy,60,114.018,114.038,10:51:12,741.38,JPY,BAIXA,1,story,
2026-06-29,CHFJPY,buy,60,199.735,200.209,10:51:15,17570.96,JPY,BAIXA,1,story,
2026-06-29,EURJPY,buy,60,184.209,184.582,10:51:18,13826.93,JPY,BAIXA,1,story,
2026-06-29,GBPJPY,buy,60,213.515,213.957,10:51:19,16384.73,JPY,BAIXA,1,story,
2026-06-29,NZDJPY,buy,60,91.272,91.499,10:51:20,8414.78,JPY,BAIXA,1,story,
2026-06-29,USDJPY,buy,60,161.795,161.858,10:51:20,2335.38,JPY,BAIXA,1,story,total_print=63388.85
2026-06-30,AUDNZD,sell,60,1.21817,1.21700,10:43:41,3972.20,NZD,ALTA,1,story,
2026-06-30,EURNZD,sell,60,2.02101,2.01485,10:43:43,20913.45,NZD,ALTA,1,story,
2026-06-30,GBPNZD,sell,60,2.34559,2.33958,10:43:46,20404.19,NZD,ALTA,1,story,
2026-06-30,NZDCAD,buy,60,0.80302,0.80534,10:43:49,9778.85,NZD,ALTA,1,story,
2026-06-30,NZDCHF,buy,60,0.45646,0.45771,10:43:50,9270.59,NZD,ALTA,1,story,
2026-06-30,NZDJPY,buy,60,91.513,91.850,10:43:55,12455.18,NZD,ALTA,1,story,
2026-06-30,NZDUSD,buy,60,0.56519,0.56576,10:43:58,3420.00,NZD,ALTA,1,story,total_print=80214.46; NZDJPY abre 91.513 vs fechamento 91.499 de 29/06 (continuidade ok)
2026-07-02,EURGBP,sell,60,0.86132,0.85686,03:14:12,35545.04,GBP,ALTA,2,story,portfolio declarado de 2 dias (abertura ~30/06-01/07)
2026-07-02,GBPAUD,buy,60,1.91655,1.92791,03:14:17,46954.74,GBP,ALTA,2,story,
2026-07-02,GBPCAD,buy,60,1.88238,1.88830,03:14:18,24981.89,GBP,ALTA,2,story,
